date,close,diff,open,high,low,volume
1996.06.25,18950.0,0.0,19350.0,19500.0,18950.0,8220.0
1996.06.26,18450.0,500.0,19100.0,19400.0,18450.0,48340.0
1996.06.27,18450.0,0.0,18450.0,18450.0,18450.0,0.0
1996.06.28,17350.0,1100.0,18250.0,18250.0,17350.0,28320.0
1996.06.29,16800.0,550.0,17000.0,17400.0,16350.0,17720.0
1996.07.01,17250.0,450.0,17250.0,17250.0,16500.0,14420.0
1996.07.02,17500.0,250.0,16800.0,18100.0,16800.0,9500.0
1996.07.03,17500.0,0.0,17500.0,17500.0,17500.0,9420.0
1996.07.04,18000.0,500.0,17250.0,18100.0,17250.0,27100.0
1996.07.05,17500.0,500.0,18000.0,18000.0,17500.0,9720.0
1996.07.06,17250.0,250.0,17500.0,17500.0,17050.0,6700.0
1996.07.08,17750.0,500.0,17500.0,18000.0,17500.0,23740.0
1996.07.09,17950.0,200.0,17850.0,17950.0,17650.0,9380.0
1996.07.10,18150.0,200.0,17950.0,18600.0,17950.0,16400.0
1996.07.11,18750.0,600.0,17950.0,19200.0,17950.0,46560.0
1996.07.12,18700.0,50.0,18800.0,18800.0,18550.0,33100.0
1996.07.13,19050.0,350.0,18750.0,19500.0,18750.0,9320.0
1996.07.15,18950.0,100.0,19050.0,19050.0,18550.0,34020.0
1996.07.16,18000.0,950.0,18500.0,18800.0,18000.0,29200.0
1996.07.18,17750.0,250.0,17050.0,18250.0,17050.0,4940.0
1996.07.19,18000.0,250.0,17500.0,18000.0,17500.0,16460.0
1996.07.20,17850.0,150.0,17500.0,18050.0,17500.0,2320.0
1996.07.22,18350.0,500.0,17750.0,18500.0,17500.0,10360.0
1996.07.23,18350.0,0.0,18350.0,18500.0,18250.0,6380.0
1996.07.24,18000.0,350.0,17750.0,18050.0,17550.0,4400.0
1996.07.25,18050.0,50.0,18000.0,18200.0,17600.0,8640.0
1996.07.26,18100.0,50.0,18050.0,18500.0,17900.0,14220.0
1996.07.27,17650.0,450.0,17800.0,17850.0,17650.0,1480.0
1996.07.29,17800.0,150.0,17650.0,17850.0,17650.0,5540.0
1996.07.30,17950.0,150.0,17550.0,18000.0,17500.0,5900.0
1996.07.31,18000.0,50.0,18000.0,18000.0,17550.0,11660.0
1996.08.01,18250.0,250.0,17850.0,18800.0,17850.0,75140.0
1996.08.02,19300.0,1050.0,19300.0,19300.0,18800.0,72900.0
1996.08.03,19750.0,450.0,19750.0,20350.0,19250.0,82500.0
1996.08.05,19500.0,250.0,19750.0,20200.0,19050.0,30460.0
1996.08.06,18750.0,750.0,19500.0,19500.0,18500.0,27200.0
1996.08.07,19850.0,1100.0,18750.0,19850.0,18750.0,32240.0
1996.08.08,20750.0,900.0,20700.0,21000.0,20500.0,213640.0
1996.08.09,21050.0,300.0,20750.0,21750.0,20250.0,189280.0
1996.08.10,21450.0,400.0,21300.0,22250.0,21300.0,140900.0
1996.08.12,21200.0,250.0,20500.0,22150.0,20500.0,63580.0
1996.08.13,20750.0,450.0,21000.0,21500.0,20550.0,62440.0
1996.08.14,20800.0,50.0,20750.0,21400.0,20750.0,55900.0
1996.08.16,20000.0,800.0,21050.0,21050.0,20000.0,18920.0
1996.08.17,20300.0,300.0,20050.0,20450.0,20000.0,23020.0
1996.08.19,21450.0,1150.0,20550.0,21500.0,20550.0,44520.0
1996.08.20,21250.0,200.0,21550.0,22500.0,21150.0,98600.0
1996.08.21,21100.0,150.0,21100.0,21200.0,20850.0,43000.0
1996.08.22,21700.0,600.0,21350.0,21800.0,21000.0,83900.0
1996.08.23,23000.0,1300.0,22000.0,23000.0,22000.0,145960.0
1996.08.24,23200.0,200.0,23500.0,23700.0,22750.0,64360.0
1996.08.26,22500.0,700.0,23500.0,23500.0,22000.0,67820.0
1996.08.27,21750.0,750.0,22600.0,22600.0,21750.0,57020.0
1996.08.28,20450.0,1300.0,21800.0,21800.0,20450.0,27320.0
1996.08.29,21000.0,550.0,20050.0,21000.0,19250.0,48800.0
1996.08.30,20500.0,500.0,19800.0,21450.0,19800.0,27640.0
1996.08.31,20850.0,350.0,20000.0,21000.0,20000.0,21640.0
1996.09.02,20950.0,100.0,20850.0,21250.0,20250.0,21500.0
1996.09.03,21000.0,50.0,20950.0,21000.0,20500.0,21640.0
1996.09.04,21000.0,0.0,21500.0,21700.0,21000.0,33940.0
1996.09.05,20950.0,50.0,21000.0,21100.0,20750.0,19160.0
1996.09.06,21450.0,500.0,21250.0,21600.0,21250.0,38780.0
1996.09.07,21200.0,250.0,21000.0,21200.0,21000.0,6880.0
1996.09.09,21200.0,0.0,21550.0,21550.0,20900.0,21100.0
1996.09.10,21200.0,0.0,21250.0,21700.0,21200.0,51320.0
1996.09.11,22350.0,1150.0,20000.0,22350.0,20000.0,71260.0
1996.09.12,22300.0,50.0,22500.0,22750.0,22050.0,67420.0
1996.09.13,22000.0,300.0,22550.0,22550.0,21550.0,44980.0
1996.09.14,21850.0,150.0,22050.0,22150.0,21800.0,36680.0
1996.09.16,23150.0,1300.0,22100.0,23150.0,21850.0,100880.0
1996.09.17,22800.0,350.0,23500.0,24000.0,22800.0,81440.0
1996.09.18,23100.0,300.0,22800.0,23500.0,22750.0,78760.0
1996.09.19,22950.0,150.0,23100.0,23200.0,22450.0,58920.0
1996.09.20,21800.0,1150.0,21700.0,22750.0,21700.0,28740.0
1996.09.21,22200.0,400.0,21500.0,22300.0,21500.0,12900.0
1996.09.23,21800.0,400.0,22300.0,22500.0,21750.0,18700.0
1996.09.24,22800.0,1000.0,22500.0,22800.0,21800.0,57640.0
1996.09.25,22250.0,550.0,22800.0,22800.0,22100.0,33060.0
1996.09.30,21850.0,400.0,23000.0,23000.0,21850.0,47400.0
1996.10.01,22250.0,400.0,22000.0,22500.0,21500.0,68400.0
1996.10.02,21850.0,400.0,22400.0,22500.0,21800.0,20220.0
1996.10.04,21050.0,800.0,21950.0,21950.0,21050.0,11020.0
1996.10.05,21450.0,400.0,20000.0,22000.0,20000.0,19820.0
1996.10.07,21850.0,400.0,21750.0,22000.0,21250.0,24140.0
1996.10.08,21300.0,550.0,21850.0,21850.0,21300.0,18020.0
1996.10.09,21350.0,50.0,21350.0,21750.0,21300.0,28100.0
1996.10.10,21900.0,550.0,21400.0,22500.0,21000.0,29040.0
1996.10.11,21950.0,50.0,22100.0,22250.0,21500.0,13260.0
1996.10.12,22050.0,100.0,22050.0,22250.0,21750.0,23240.0
1996.10.14,22750.0,700.0,22250.0,23100.0,22150.0,59800.0
1996.10.15,22750.0,0.0,22750.0,23000.0,22250.0,60320.0
1996.10.16,22850.0,100.0,22750.0,23500.0,22750.0,31940.0
1996.10.17,22600.0,250.0,22850.0,23250.0,22600.0,39660.0
1996.10.18,21300.0,1300.0,22500.0,22500.0,21300.0,28700.0
1996.10.19,20800.0,500.0,21300.0,21300.0,20800.0,24280.0
1996.10.21,21500.0,700.0,21000.0,21500.0,21000.0,3800.0
1996.10.22,21000.0,500.0,21250.0,21450.0,20900.0,4760.0
1996.10.23,21000.0,0.0,21000.0,21300.0,20900.0,6820.0
1996.10.24,20950.0,50.0,21000.0,21000.0,20850.0,6460.0
1996.10.25,21250.0,300.0,20950.0,21400.0,20250.0,19460.0
1996.10.26,21500.0,250.0,21300.0,21500.0,20500.0,12380.0
1996.10.28,21650.0,150.0,21500.0,22050.0,21500.0,21720.0
1996.10.29,21000.0,650.0,20750.0,21500.0,20750.0,26340.0
1996.10.30,20000.0,1000.0,21000.0,21000.0,20000.0,12220.0
1996.10.31,20950.0,950.0,20000.0,20950.0,18800.0,28980.0
1996.11.01,20500.0,450.0,20900.0,20950.0,20500.0,14720.0
1996.11.02,20500.0,0.0,20950.0,20950.0,20250.0,1840.0
1996.11.04,20000.0,500.0,20100.0,20400.0,20000.0,12840.0
1996.11.05,19000.0,1000.0,19000.0,20000.0,18800.0,5840.0
1996.11.06,19300.0,300.0,19150.0,19500.0,19000.0,22460.0
1996.11.07,19000.0,300.0,19500.0,19750.0,19000.0,27020.0
1996.11.08,18550.0,450.0,19000.0,19000.0,18100.0,20620.0
1996.11.09,17450.0,1100.0,19600.0,19600.0,17450.0,52500.0
1996.11.11,17000.0,450.0,16600.0,17400.0,16600.0,19880.0
1996.11.12,18000.0,1000.0,17000.0,18000.0,17000.0,4900.0
1996.11.13,17600.0,400.0,18250.0,18250.0,17500.0,6740.0
1996.11.14,18500.0,900.0,17750.0,18500.0,17750.0,9100.0
1996.11.15,19500.0,1000.0,18750.0,19500.0,18400.0,17280.0
1996.11.16,19400.0,100.0,19750.0,19750.0,19400.0,1040.0
1996.11.18,20000.0,600.0,18500.0,20000.0,18500.0,7680.0
1996.11.19,19250.0,750.0,18800.0,20000.0,18800.0,26840.0
1996.11.20,19000.0,250.0,19500.0,19500.0,18800.0,24300.0
1996.11.21,18550.0,450.0,18950.0,19250.0,18550.0,39220.0
1996.11.22,18500.0,50.0,18100.0,18750.0,18100.0,15200.0
1996.11.25,18350.0,150.0,18350.0,18500.0,18250.0,11160.0
1996.11.26,18250.0,100.0,18250.0,19450.0,18250.0,7720.0
1996.11.27,18400.0,150.0,19200.0,19200.0,18350.0,14260.0
1996.11.28,18800.0,400.0,18600.0,18950.0,18600.0,5420.0
1996.11.29,19450.0,650.0,18800.0,19450.0,18650.0,5600.0
1996.11.30,19000.0,450.0,18500.0,19000.0,18500.0,100.0
1996.12.02,18750.0,250.0,18750.0,19250.0,18750.0,4520.0
1996.12.03,19250.0,500.0,18750.0,19250.0,18750.0,8300.0
1996.12.04,18750.0,500.0,19000.0,19250.0,18750.0,2720.0
1996.12.05,18500.0,250.0,18750.0,18750.0,18500.0,7400.0
1996.12.06,18500.0,0.0,18500.0,19000.0,18500.0,860.0
1996.12.07,18500.0,0.0,18500.0,18500.0,18000.0,1840.0
1996.12.09,18500.0,0.0,18500.0,18500.0,18250.0,8300.0
1996.12.10,18250.0,250.0,18250.0,18750.0,18250.0,3200.0
1996.12.11,18750.0,500.0,18500.0,19250.0,18500.0,5620.0
1996.12.12,19100.0,350.0,19500.0,19500.0,18750.0,12000.0
1996.12.13,19100.0,0.0,18900.0,19500.0,18900.0,26120.0
1996.12.14,19950.0,850.0,19000.0,19950.0,19000.0,8480.0
1996.12.16,19700.0,250.0,19800.0,19800.0,19000.0,3420.0
1996.12.17,19500.0,200.0,18550.0,19700.0,18550.0,46340.0
1996.12.18,19200.0,300.0,19550.0,20000.0,19200.0,10880.0
1996.12.19,19300.0,100.0,19200.0,19300.0,18950.0,32320.0
1996.12.20,19700.0,400.0,19300.0,19700.0,19300.0,19320.0
1996.12.21,19850.0,150.0,19500.0,19900.0,19500.0,8840.0
1996.12.23,21250.0,1400.0,20100.0,21400.0,19850.0,33600.0
1996.12.24,20200.0,1050.0,20500.0,21000.0,20200.0,15340.0
1996.12.26,19450.0,750.0,19900.0,20200.0,18700.0,17120.0
1996.12.27,20400.0,950.0,18000.0,21000.0,18000.0,25440.0
