corps = corp.get_corps('2004-12-31', ['회사명', '종목코드'])
    params = {
        'seq_length': 5,  # 시퀀스 갯수
        'data_dim': 5,  # 입력 데이터 갯수
        'hidden_dims': [128, 96, 64],  # 히든 레이어 갯수
        'dropout_keep': 0.8,  # dropout
        'output_dim': 1,  # 출력 데이터 갯수
        'learning_rate': 0.0001,
        'iterations': [24, 10000],  # 최소, 최대 훈련 반복횟수
        'rmse_max': 0.05,
        'train_percent': 80.0,  # 훈련 데이터 퍼센트
        'loss_up_count': 12,  # early stopping
        'invest_count': 20,  # 투자 횟수
        'invest_money': 10000000,  # 각 주식에 모의투자할 금액
        'fee_percent': 0.015,  # 투자시 발생하는 수수료
        'tax_percent': 0.5,  # 매도시 발생하는 세금
        'invest_min_percent': 0.6,  # 투자를 하는 최소 간격 퍼센트
        'kor_font_path': 'C:\\WINDOWS\\Fonts\\H2GTRM.TTF'
    }


1 1040 CJ 0.0260566 9808039.0 9320562.5 8
2 12630 HDC 0.0447381 10811239.07 10811239.07 1
3 1390 KG케미칼 0.027838489 10152220.9375 10506636.25 26
4 2360 SH에너지화학 0.007161673 10063129.5295 10063129.5295 2
5 1740 SK네트웍스 0.005776304 10774928.215 10774928.215 30
6 11810 STX 0.033908512 9803060.3875 9803060.3875 13
7 24070 WISCOM 0.019124473 9773339.1055 9773339.1055 73
8 11420 갤럭시아에스엠 0.007809757 9612724.426749999 10374542.8825 12
9 2240 고려제강 0.008779426 9729864.68 9331526.739999998 12
10 1290 골든브릿지증권 0.008701033 10851286.488 10851286.488 12
11 14530 극동유화 0.19115931 9990443.91475 9990443.91475 6
12 13700 까뮤이앤씨 0.13390772 10483597.0675 10483597.0675 3
13 5250 녹십자홀딩스 0.012638909 10000000 9521330.7925 16
14 4130 대덕GDS 0.029033935 9985122.365 9527889.305 20
15 14160 대영포장 0.0009081346 10122301.5676 10650169.16465 16
16 3220 대원제약 0.016930992 9722317.444999998 9769440.475000001 5
17 2880 대유에이텍 0.002284657 10976133.696999999 10976133.696999999 19
18 1620 동국실업 0.0061064363 10418463.178 10418463.178 0
19 23450 동남합성 0.026935402 10000000 9754890.379999999 0
20 4140 동방 0.0020556804 10227443.537749998 11115714.649999999 19
21 640 동아쏘시오홀딩스 0.038640633 10723407.0 10723407.0 250
22 1520 동양 0.0047761695 9614559.95125 10470591.145 3
23 400 롯데손해보험 0.002393917 9143987.444500001 9435995.8165 34
24 9200 무림페이퍼 0.006489087 9772288.274500001 10228359.586000001 13
25 6400 삼성SDI 0.026839929 10286693.249999998 11274712.9 9
26 68290 삼성출판사 0.016189806 9746810.19 16654789.375 0
27 810 삼성화재해상보험 0.024423542 10000000 9535757.5 0
28 5680 삼영전자공업 0.021775946 10308647.85 10308647.85 8
29 3720 삼영화학공업 0.008743388 10124015.4307 10124015.4307 0
30 5500 삼진제약 0.0056912946 10612215.165 10926991.379999999 0
31 7610 선도전기 0.0100539 13788936.73375 13788936.73375 0
32 67830 세이브존I&C 0.0031630627 9662892.04 9355085.45 3
